scrape_date,price,price_per_m2,surface_m2,rooms,floor,max_floor,neighborhood,city,year_built,url
3/18/2026,106800,1780,60,2,3,4,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-264125911
3/18/2026,285000,3958,72,3,5,10,Floreasca,Sector 1,2017,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-3-camere-251823232
3/18/2026,89900,1816,49.5,2,3,11,Nord,Mamaia,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-nord-2-camere-1-274833737
3/18/2026,73812,1200,61.51,2,5,5,Nord,Mamaia-Sat,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-sat-nord-2-camere-505304
3/18/2026,126500,2466,51.29,2,3,6,Dârste,Brașov,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-darste-2-camere-155957
3/18/2026,96108,1200,80.09,2,2,5,Nord,Mamaia-Sat,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-sat-nord-2-camere-505780
3/18/2026,74250,1280,58,2,1,6,Berceni,Sector 4,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-berceni-2-camere-275268325
3/18/2026,261000,2137,122.14,4,11,11,Theodor Pallady,Sector 3,2026,https://www.imobiliare.ro/oferta/penthouse-de-vanzare-sector-3-theodor-pallady-4-camere-275248055
3/18/2026,84000,2239,37.52,1,1,11,Theodor Pallady,Sector 3,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-3-theodor-pallady-3752mp-275228741
3/18/2026,145000,2302,63,3,3,3,Galata,Iași,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-iasi-galata-3-camere-274187309
3/18/2026,64863,1733,37.43,1,0,3,Bartolomeu,Brașov,2025,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-brasov-bartolomeu-415mp-270455295
3/18/2026,269900,1901,142,4,2,8,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-4-camere-275211096
3/18/2026,259657,3557,73,3,8,12,Take Ionescu,Timișoara,2028,https://www.imobiliare.ro/oferta/apartament-de-vanzare-timisoara-take-ionescu-3-camere-271327010
3/18/2026,119900,2025,59.2,1,5,8,Pipera,Sector 1,2025,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-pipera-592mp-268639452
3/18/2026,51200,1249,41,2,7,7,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082636
3/18/2026,89900,1816,49.5,2,3,11,Nord,Mamaia,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-nord-2-camere-1-274831470
3/18/2026,89000,1780,50,2,1,8,Nord,Mamaia,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-nord-2-camere-2-274617310
3/18/2026,66000,1500,44,2,2,10,Chiajna,,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-chiajna-2-camere-275098525
3/18/2026,159900,2471,64.7,2,1,4,Aviației,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-aviatiei-2-camere-274265418
3/18/2026,214980,2908,73.92,3,0,,Pipera,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-mobilat-3-camere-266165539
3/18/2026,75000,1500,50,2,2,5,Militari,Sector 6,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-275146972
3/18/2026,65000,1548,42,2,2,7,Militari,Sector 6,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-274890927
3/18/2026,57500,1983,29,1,3,8,Nord,Mamaia,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-mamaia-nord-244mp-1-274617243
3/18/2026,74850,1497,50,2,2,5,Militari,Sector 6,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-269897161
3/18/2026,55700,1359,41,2,7,7,Militari,Sector 6,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1-1082620
3/18/2026,260811,2804,93,4,1,11,Răcădău,Brașov,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-racadau-4-camere-1069320
3/18/2026,71900,1498,48,2,1,7,Chiajna,,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-chiajna-2-camere-1031391
3/18/2026,83000,2150,38.6,1,6,10,Theodor Pallady,Sector 3,2026,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-3-theodor-pallady-2882mp-270523703
3/18/2026,134173,1300,103.21,3,5,5,Nord,Mamaia-Sat,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-sat-nord-3-camere-1098273
3/18/2026,299000,1833,163.08,4,10,10,Theodor Pallady,Sector 3,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-3-theodor-pallady-4-camere-217562944
3/18/2026,116900,2000,58.45,1,5,11,Nord,Mamaia,2024,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-mamaia-nord-5845-mp-1103645
3/18/2026,270000,2937,91.92,3,2,4,Sisești,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-sisesti-3-camere-275224976
3/18/2026,270000,2981,90.56,3,2,,Sisești,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-sisesti-3-camere-275190741
3/18/2026,211500,4230,50,2,10,12,Floreasca,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-2-camere-274143737
3/18/2026,127900,2391,53.49,2,8,8,Bartolomeu,Brașov,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-bartolomeu-2-camere-270039894
3/18/2026,49830,1038,48,2,5,7,Militari,Sector 6,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-militari-2-camere-1082628
3/18/2026,79800,1900,42,2,5,7,Berceni,Sector 4,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-berceni-2-camere-275224379
3/18/2026,109150,1850,59,2,3,8,Noua,Brașov,2027,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-noua-2-camere-243008792
3/18/2026,84100,1649,51,2,2,5,Central,Eforie Nord,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-eforie-nord-central-2-camere-251372176
3/18/2026,33900,1304,26,1,5,7,Militari,Sector 6,2023,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-6-militari-26-mp-1-1082622
3/18/2026,104115,2449,42.52,1,7,8,Bartolomeu,Brașov,2027,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-brasov-bartolomeu-5437mp-273107549
3/18/2026,110000,1960,56.11,2,5,5,Copou,Iași,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-iasi-copou-2-camere-270803532
3/18/2026,109998,2340,47,2,5,5,Colentina,Sector 2,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-2-colentina-2-camere-49020979
3/18/2026,117000,3086,37.91,2,2,2,Central,Iași,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-iasi-central-2-camere-234976393
3/18/2026,109641,2333,47,2,5,5,Colentina,Sector 2,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-2-colentina-2-camere-49020988
3/18/2026,124699,2274,54.84,2,6,8,Păcurari,Iași,2022,https://www.imobiliare.ro/oferta/apartament-de-vanzare-iasi-pacurari-2-camere-1-1102692
3/18/2026,129900,2328,55.8,2,2,8,Bartolomeu,Brașov,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-bartolomeu-2-camere-270039790
3/18/2026,125000,3521,35.5,1,1,10,Pipera,Sector 1,2023,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-1-pipera-mobilata-399mp-269864892
3/18/2026,146000,2116,69,2,2,3,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-274981679
3/18/2026,144000,2087,69,2,2,3,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-274981496
3/18/2026,138000,2190,63,2,2,3,Pipera,Sector 1,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-274977151
3/18/2026,62000,954,65,2,1,6,Drumul Taberei,Sector 6,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-6-drumul-taberei-2-camere-273739676
3/18/2026,64580,1266,51,2,1,4,Central,Popești-Leordeni,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-popesti-leordeni-central-2-camere-274617021
3/18/2026,113550,2035,55.8,2,5,5,Aradului,Timișoara,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-timisoara-aradului-2-camere-207251423
3/18/2026,123165,2281,53.99,2,0,5,Colentina,Sector 2,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-2-colentina-2-camere-49021008
3/18/2026,120016,2223,54,2,3,10,Nord,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-nord-2-camere-2-1537422
3/18/2026,145000,3085,47,2,5,6,Pipera,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-pipera-2-camere-1-64343848
3/18/2026,145775,1700,85.75,2,5,11,Nord,Mamaia,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-nord-2-camere-1103653
3/18/2026,145775,1700,85.75,2,5,11,Nord,Mamaia,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-nord-2-camere-1103639
3/18/2026,122000,2342,52.1,2,3,15,Ultracentral,Mamaia,2027,https://www.imobiliare.ro/oferta/apartament-de-vanzare-mamaia-ultracentral-mobilat-2-camere-2-1035947
3/18/2026,227000,2159,105.13,3,8,9,Avantgarden,Brașov,2026,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-avantgarden-3-camere-275303842
3/18/2026,78000,1733,45,2,4,4,Popești-Leordeni,,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-popesti-leordeni-2-camere-275301731
3/18/2026,117685,2263,52,2,1,3,Exterior Nord,Timișoara,2027,https://www.imobiliare.ro/oferta/apartament-de-vanzare-timisoara-exterior-nord-2-camere-275225806
3/18/2026,270000,4821,56,2,0,,Horea,Cluj-Napoca,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-cluj-napoca-horea-mobilat-2-camere-275072626
3/18/2026,104000,2419,43,2,2,4,Florești,,2022,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-2-camere-274868050
3/18/2026,95000,2102,45.2,2,9,10,Berceni,Sector 4,1964,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-berceni-2-camere-274811458
3/18/2026,700000,4118,170,4,9,12,Floreasca,Sector 1,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-4-camere-274229594
3/18/2026,249000,3276,76,3,0,1,P-ța Victoriei,Ultracentral,1900,https://www.imobiliare.ro/oferta/apartament-de-vanzare-ultracentral-p-ta-victoriei-mobilat-3-camere-274158871
3/18/2026,240000,4211,57,2,8,9,Sopor,Cluj-Napoca,2021,https://www.imobiliare.ro/oferta/apartament-de-vanzare-cluj-napoca-sopor-mobilat-2-camere-273497181
3/18/2026,185000,2643,70,2,2,10,Tractorul,Brașov,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-tractorul-mobilat-2-camere-273078472
3/18/2026,249000,4527,55,2,8,10,Floreasca,Sector 1,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-floreasca-mobilat-2-camere-272583440
3/18/2026,119900,2324,51.59,2,7,7,Central,Popești-Leordeni,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-popesti-leordeni-central-mobilat-2-camere-272324026
3/18/2026,320000,1600,200,4,7,7,Baciu,,2015,https://www.imobiliare.ro/oferta/apartament-de-vanzare-baciu-4-camere-271833436
3/18/2026,134000,1861,72,3,4,4,Dacia,Iași,1978,https://www.imobiliare.ro/oferta/apartament-de-vanzare-iasi-dacia-mobilat-3-camere-271596226
3/18/2026,164000,2448,67,3,0,4,Florești,,2015,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-mobilat-3-camere-271466196
3/18/2026,115650,2134,54.2,2,1,6,Central,Popești-Leordeni,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-popesti-leordeni-central-2-camere-271169184
3/18/2026,195000,2910,67,2,3,4,Griviței,Brașov,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-grivitei-mobilat-2-camere-271055905
3/18/2026,127000,1896,67,3,2,4,Florești,,2015,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-3-camere-270723816
3/18/2026,66116,1862,35.5,1,7,8,Berceni,Sector 4,2024,https://www.imobiliare.ro/oferta/garsoniera-de-vanzare-sector-4-berceni-270520166
3/18/2026,190000,1632,116.4,4,4,,Brâncoveanu,Sector 4,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-brancoveanu-4-camere-270498228
3/18/2026,83305,1726,48.27,2,3,3,Bartolomeu,Brașov,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-brasov-bartolomeu-2-camere-270461156
3/18/2026,77900,1851,42.08,2,9,9,Rahova,Sector 5,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-5-rahova-2-camere-270413936
3/18/2026,207900,3998,52,2,8,8,Iris,Cluj-Napoca,2018,https://www.imobiliare.ro/oferta/apartament-de-vanzare-cluj-napoca-iris-2-camere-270243243
3/18/2026,369900,3557,104,4,1,3,Iancu Nicolae,Sector 1,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-1-iancu-nicolae-mobilat-4-camere-274869333
3/18/2026,167999,2211,76,3,4,4,Florești,,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-mobilat-3-camere-269969710
3/18/2026,100000,1887,53,2,3,4,Florești,,2009,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-2-camere-269527752
3/18/2026,150000,1648,91,3,1,4,Baciu,,2010,https://www.imobiliare.ro/oferta/apartament-de-vanzare-baciu-3-camere-269512610
3/18/2026,67000,1340,50,2,4,4,Florești,,,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-2-camere-269504972
3/18/2026,95000,1827,52,2,3,3,Florești,,2022,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-2-camere-990311
3/18/2026,166750,1450,115,3,11,13,Parcul Carol,Sector 4,2023,https://www.imobiliare.ro/oferta/apartament-de-vanzare-sector-4-parcul-carol-3-camere-2341627
3/18/2026,190000,2639,72,3,3,3,Florești,,2018,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-mobilat-3-camere-269408356
3/18/2026,175000,2734,64,3,6,6,Florești,,2022,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-3-camere-268870988
3/18/2026,150000,2773,54.1,2,1,4,Florești,,2024,https://www.imobiliare.ro/oferta/apartament-de-vanzare-floresti-2-camere-268717279
3/18/2026,154990,1761,88,4,0,2,Torontalului,Timișoara,2025,https://www.imobiliare.ro/oferta/apartament-de-vanzare-timisoara-torontalului-4-camere-268702483
3/18/2026,162990,2376,68.6,3,7,8,Girocului,Timișoara,2018,https://www.imobiliare.ro/oferta/apartament-de-vanzare-timisoara-girocului-mobilat-3-camere-265179353
